Typ,Kauf,Kcur,Verkauf,Vcur,Gebuhr,Gcur,Datum,Index,Trade Gruppe,Kommentar,Trade ID
Mining,1.00161091,BTC,0.0,,0.0,,10.08.2012 01:56,1,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.0372217763ac377e9c1b255109f1800f93f97873ec34837f87bd9b8cef7d14d4b
Mining,1.03560055,BTC,0.0,,0.0,,12.08.2012 04:22,2,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.09c72e516e9c81f19e37a03a6ebd703b7000bd7ec3325eba8bca6a9d455c458bb
Mining,1.00920714,BTC,0.0,,0.0,,14.08.2012 11:44,3,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.0ac6d0ba8c2272ffdf11fbd883d38b3f239779a16efa8c6efcd371a048448164e
Mining,0.00954424,BTC,0.0,,0.0,,15.08.2012 10:02,4,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.028b7526af080a51b49016106b4b6b1a7770e54f6b26e85ffbb0955feb5c153f4
Auszahlung,0.0,,1.00161091,BTC,0.0,,15.08.2012 10:02,5,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.0a9598f9da4d8b6bbcbc67d09758111e9f7f9ebc5e126cbd73bd00fee3f880ff7
Mining,1.01119443,BTC,0.0,,0.0,,16.08.2012 09:50,6,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.049f42d579873bcb4a03bdfcd992413d7f97f2a2adfa98740429a718f030ff64b
Mining,1.00877110,BTC,0.0,,0.0,,19.08.2012 14:20,7,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.0374a2e833354fdafe286563f87617ab5b893038c877a5b5d387a93cd13bf4674
Mining,1.03101636,BTC,0.0,,0.0,,22.08.2012 07:20,8,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.0cf94f4c30ec5a402f9d287706854e2b7b15a706e4a92cd064cce8d2de1bf49d0
Mining,1.02255994,BTC,0.0,,0.0,,29.08.2012 22:10,9,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.01fba4ea800afe1a39a5fd2157324604cc25ac76ddddf6a0d6f517edac7a18fff
Mining,1.01858793,BTC,0.0,,0.0,,04.09.2012 13:03,10,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.0f8f0e442326a13b9aa631bcdb8d2f68b6a1c90e91493013ec0f435dca1c087d3
Mining,1.02477457,BTC,0.0,,0.0,,07.09.2012 23:14,11,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.0fac31b5f9dabe17c22b4c5b0a20bbc33b8c059bb4fc74c717f642a0b205f40e7
Mining,1.01541287,BTC,0.0,,0.0,,10.09.2012 14:08,12,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.0a71c1de09265e848065c076cb43f9f0a3e397490ae66ec810ac707f19cdd13e8
Mining,1.00518439,BTC,0.0,,0.0,,14.09.2012 03:22,13,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.00fa990c59808b85f50f44a17178a24d9ff94d3be25061c6f7ac37935b65f4092
